date,uri,hdUri,copyright,type
1995-06-16,https://apod.nasa.gov/apod/image/e_lens.gif,https://apod.nasa.gov/apod/image/e_lens.gif,,image
1995-06-17,,,,empty
1995-06-18,,,,empty
1995-06-19,,,,empty
1995-06-20,https://apod.nasa.gov/apod/image/pleiades2.gif,https://apod.nasa.gov/apod/image/pleiades2.gif,,image
1995-06-21,https://apod.nasa.gov/apod/image/sn1987a_hst.gif,https://apod.nasa.gov/apod/image/sn1987a_hst.gif,,image
1995-06-22,https://apod.nasa.gov/apod/image/earth_a17.gif,https://apod.nasa.gov/apod/image/earth_a17.gif,,image
1995-06-23,https://apod.nasa.gov/apod/image/egret_gro.gif,https://apod.nasa.gov/apod/image/egret_gro.gif,,image
1995-06-24,https://apod.nasa.gov/apod/image/gamma_crab.gif,https://apod.nasa.gov/apod/image/gamma_crab.gif,,image
1995-06-25,https://apod.nasa.gov/apod/image/jupiter1_vgr.gif,https://apod.nasa.gov/apod/image/jupiter1_vgr.gif,,image
1995-06-26,https://apod.nasa.gov/apod/image/m100_hst.gif,https://apod.nasa.gov/apod/image/m100_hst.gif,,image
1995-06-27,https://apod.nasa.gov/apod/image/uitm101.gif,https://apod.nasa.gov/apod/image/uitm101.gif,,image
1995-06-28,https://apod.nasa.gov/apod/image/catseye.gif,https://apod.nasa.gov/apod/image/catseye.gif,,image
1995-06-29,https://apod.nasa.gov/apod/image/earthmoon.gif,https://apod.nasa.gov/apod/image/earthmoon.gif,,image
1995-06-30,https://apod.nasa.gov/apod/image/idadactyl.gif,https://apod.nasa.gov/apod/image/idadactyl.gif,,image
1995-07-01,https://apod.nasa.gov/apod/image/hooker.gif,https://apod.nasa.gov/apod/image/hooker.gif,,image
1995-07-02,https://apod.nasa.gov/apod/image/cartwheel_hst.gif,https://apod.nasa.gov/apod/image/cartwheel_hst.gif,,image
1995-07-03,https://apod.nasa.gov/apod/image/orion_hst.gif,https://apod.nasa.gov/apod/image/orion_hst.gif,,image
1995-07-04,https://apod.nasa.gov/apod/image/fireworks_wiyn.gif,https://apod.nasa.gov/apod/image/fireworks_wiyn.gif,,image
1995-07-05,https://apod.nasa.gov/apod/image/saturn_night.gif,https://apod.nasa.gov/apod/image/saturn_night.gif,,image
1995-07-06,https://apod.nasa.gov/apod/image/saturn_2moons.gif,https://apod.nasa.gov/apod/image/saturn_2moons.gif,,image
1995-07-07,https://apod.nasa.gov/apod/image/farside_a13.gif,https://apod.nasa.gov/apod/image/farside_a13.gif,,image
1995-07-08,https://apod.nasa.gov/apod/image/a13_servicemod.gif,https://apod.nasa.gov/apod/image/a13_servicemod.gif,,image
1995-07-09,https://apod.nasa.gov/apod/image/reenter_a13.gif,https://apod.nasa.gov/apod/image/reenter_a13.gif,,image
1995-07-10,https://apod.nasa.gov/apod/image/a2218lens_hst.gif,https://apod.nasa.gov/apod/image/a2218lens_hst.gif,,image
1995-07-11,https://apod.nasa.gov/apod/image/microlens_wht.gif,https://apod.nasa.gov/apod/image/microlens_wht.gif,,image
1995-07-12,https://apod.nasa.gov/apod/image/etacarinae_hst.gif,https://apod.nasa.gov/apod/image/etacarinae_hst.gif,,image
1995-07-13,https://apod.nasa.gov/apod/image/stringofpearls.gif,https://apod.nasa.gov/apod/image/stringofpearls.gif,,image
1995-07-14,https://apod.nasa.gov/apod/image/jupimpact.gif,https://apod.nasa.gov/apod/image/jupimpact.gif,,image
1995-07-15,https://apod.nasa.gov/apod/image/craterchain1.gif,https://apod.nasa.gov/apod/image/craterchain1.gif,,image
1995-07-16,https://apod.nasa.gov/apod/image/usgsmars.gif,https://apod.nasa.gov/apod/image/usgsmars.gif,,image
1995-07-17,https://apod.nasa.gov/apod/image/barsoom.gif,https://apod.nasa.gov/apod/image/barsoom.gif,,image
1995-07-18,https://apod.nasa.gov/apod/image/CygnusLoop_hst.gif,https://apod.nasa.gov/apod/image/CygnusLoop_hst.gif,,image
1995-07-19,https://apod.nasa.gov/apod/image/olympus.gif,https://apod.nasa.gov/apod/image/olympus.gif,,image
1995-07-20,https://apod.nasa.gov/apod/image/grandcanal.gif,https://apod.nasa.gov/apod/image/grandcanal.gif,,image
1995-07-21,https://apod.nasa.gov/apod/image/marslander.gif,https://apod.nasa.gov/apod/image/marslander.gif,,image
1995-07-22,https://apod.nasa.gov/apod/image/marsface.gif,https://apod.nasa.gov/apod/image/marsface.gif,,image
1995-07-23,https://apod.nasa.gov/apod/image/m20_moo.gif,https://apod.nasa.gov/apod/image/m20_moo.gif,,image
1995-07-24,https://apod.nasa.gov/apod/image/andromeda_moo.gif,https://apod.nasa.gov/apod/image/andromeda_moo.gif,,image
1995-07-25,https://apod.nasa.gov/apod/image/crab_moo.gif,https://apod.nasa.gov/apod/image/crab_moo.gif,,image
1995-07-26,https://apod.nasa.gov/apod/image/m15_moo.gif,https://apod.nasa.gov/apod/image/m15_moo.gif,,image
1995-07-27,https://apod.nasa.gov/apod/image/ring_moo.gif,https://apod.nasa.gov/apod/image/ring_moo.gif,,image
1995-07-28,https://apod.nasa.gov/apod/image/m82_moo.gif,https://apod.nasa.gov/apod/image/m82_moo.gif,,image
1995-07-29,https://apod.nasa.gov/apod/image/dumbbell_moo.gif,https://apod.nasa.gov/apod/image/dumbbell_moo.gif,,image
1995-07-30,https://apod.nasa.gov/apod/image/satring1.gif,https://apod.nasa.gov/apod/image/satring1.gif,,image
1995-07-31,https://apod.nasa.gov/apod/image/satring2.gif,https://apod.nasa.gov/apod/image/satring2.gif,,image
1995-08-01,https://apod.nasa.gov/apod/image/satring3.gif,https://apod.nasa.gov/apod/image/satring3.gif,,image
1995-08-02,https://apod.nasa.gov/apod/image/jupring1.gif,https://apod.nasa.gov/apod/image/jupring1.gif,,image
1995-08-03,https://apod.nasa.gov/apod/image/io1.gif,https://apod.nasa.gov/apod/image/io1.gif,,image
1995-08-04,https://apod.nasa.gov/apod/image/iovol1.gif,https://apod.nasa.gov/apod/image/iovol1.gif,,image
1995-08-05,https://apod.nasa.gov/apod/image/tritongey1.gif,https://apod.nasa.gov/apod/image/tritongey1.gif,,image
1995-08-06,https://apod.nasa.gov/apod/image/columbia_sts1.gif,https://apod.nasa.gov/apod/image/columbia_sts1.gif,,image
1995-08-07,https://apod.nasa.gov/apod/image/endeavour.gif,https://apod.nasa.gov/apod/image/endeavour.gif,,image
1995-08-08,https://apod.nasa.gov/apod/image/discovery.gif,https://apod.nasa.gov/apod/image/discovery.gif,,image
1995-08-09,https://apod.nasa.gov/apod/image/challenger.gif,https://apod.nasa.gov/apod/image/challenger.gif,,image
1995-08-10,https://apod.nasa.gov/apod/image/hst.gif,https://apod.nasa.gov/apod/image/hst.gif,,image
1995-08-11,https://apod.nasa.gov/apod/image/gro.gif,https://apod.nasa.gov/apod/image/gro.gif,,image
1995-08-12,https://apod.nasa.gov/apod/image/atlantis_land.gif,https://apod.nasa.gov/apod/image/atlantis_land.gif,,image
1995-08-13,https://apod.nasa.gov/apod/image/sun_skylab.gif,https://apod.nasa.gov/apod/image/sun_skylab.gif,,image
1995-08-14,https://apod.nasa.gov/apod/image/merc_marin10.gif,https://apod.nasa.gov/apod/image/merc_marin10.gif,,image
1995-08-15,https://apod.nasa.gov/apod/image/venus_galileo.gif,https://apod.nasa.gov/apod/image/venus_galileo.gif,,image
1995-08-16,https://apod.nasa.gov/apod/image/uranus_vg2.gif,https://apod.nasa.gov/apod/image/uranus_vg2.gif,,image
1995-08-17,https://apod.nasa.gov/apod/image/neptune_vg2.gif,https://apod.nasa.gov/apod/image/neptune_vg2.gif,,image
1995-08-18,https://apod.nasa.gov/apod/image/pluto_hst.gif,https://apod.nasa.gov/apod/image/pluto_hst.gif,,image
1995-08-19,https://apod.nasa.gov/apod/image/solsys_vg1.gif,https://apod.nasa.gov/apod/image/solsys_vg1.gif,,image
1995-08-20,https://apod.nasa.gov/apod/image/comet_hb1.gif,https://apod.nasa.gov/apod/image/comet_hb1.gif,,image
1995-08-21,https://apod.nasa.gov/apod/image/comet_halleynuc1.gif,https://apod.nasa.gov/apod/image/comet_halleynuc1.gif,,image
1995-08-22,https://apod.nasa.gov/apod/image/magellan_venus1.gif,https://apod.nasa.gov/apod/image/magellan_venus1.gif,,image
1995-08-23,https://apod.nasa.gov/apod/image/venus_tick.gif,https://apod.nasa.gov/apod/image/venus_tick.gif,,image
1995-08-24,https://apod.nasa.gov/apod/image/rainier.gif,https://apod.nasa.gov/apod/image/rainier.gif,,image
1995-08-25,https://apod.nasa.gov/apod/image/magellan_sc.gif,https://apod.nasa.gov/apod/image/magellan_sc.gif,,image
1995-08-26,https://apod.nasa.gov/apod/image/comet_west.gif,https://apod.nasa.gov/apod/image/comet_west.gif,,image
1995-08-27,https://apod.nasa.gov/apod/image/grb3map.gif,https://apod.nasa.gov/apod/image/grb3map.gif,,image
1995-08-28,https://apod.nasa.gov/apod/image/cenA_ctio.gif,https://apod.nasa.gov/apod/image/cenA_ctio.gif,,image
1995-08-29,https://apod.nasa.gov/apod/image/saturn5_apollo11.gif,https://apod.nasa.gov/apod/image/saturn5_apollo11.gif,,image
1995-08-30,https://apod.nasa.gov/apod/image/skylab.gif,https://apod.nasa.gov/apod/image/skylab.gif,,image
1995-08-31,https://apod.nasa.gov/apod/image/moon_rosat.gif,https://apod.nasa.gov/apod/image/moon_rosat.gif,,image
1995-09-01,https://apod.nasa.gov/apod/image/chandra_uc.gif,https://apod.nasa.gov/apod/image/chandra_uc.gif,1989 by The University of Chicago,image
1995-09-02,https://apod.nasa.gov/apod/image/darkmatter_rosat.gif,https://apod.nasa.gov/apod/image/darkmatter_rosat.gif,,image
1995-09-03,https://apod.nasa.gov/apod/image/moon_clementine.gif,https://apod.nasa.gov/apod/image/moon_clementine.gif,,image
